CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,TotalMRR,Seats,Plan,Status,Logins,SessionMinutes,Tickets,Satisfaction,TenureMonths,RevenuePerSeat,TicketsPerMonth,Outlier
C1018,Myra Khan Systems,Finance,Usa,Boston,150.0,2024-03-06,Referral,2098.6,6.0,Enterprise,Active,8.7,275.96,6.0,4.333333333333333,30.866666666666667,349.76666666666665,0.19438444924406048,True
C1019,Deepak Nair Labs,Finance,Singapore,Singapore,150.0,2024-04-30,Outbound,326.36,9.0,Growth,Active,16.555555555555557,274.7,2.0,5.5,29.033333333333335,36.26222222222222,0.06888633754305395,False
C1020,Saanvi Menon Group,Retail,India,Chennai,400.0,2023-12-04,Referral,68.6,6.0,Starter,Churned,7.857142857142857,163.57142857142858,5.0,5.8,33.96666666666667,11.433333333333332,0.14720314033366044,False
C1021,Vivaan Singh Systems,Finance,Usa,Seattle,35.0,2023-05-14,Organic Search,76.44,8.0,Starter,Active,13.2,246.51500000000001,4.0,4.75,40.766666666666666,9.555,0.09811937857726902,False
C1022,Rahul Singh Technologies,Retail,Usa,Boston,400.0,2023-09-26,Organic Search,64.68,5.0,Starter,Active,2.75,238.99375,8.0,6.125,36.266666666666666,12.936000000000002,0.22058823529411764,False
C1023,Meera Menon Industries,Media,Usa,Boston,35.0,2024-08-02,Referral,778.44,8.0,Business,Active,2.8,272.41999999999996,5.0,5.8,25.9,97.305,0.19305019305019305,False
C1024,Vivaan Verma Solutions,Retail,India,Bengaluru,12.0,2024-10-17,Paid Ads,246.76,4.0,Growth,Active,15.666666666666666,256.8,2.0,5.5,23.366666666666667,61.69,0.08559201141226819,False
C1025,Diya Singh Labs,Manufacturing,Usa,Seattle,1200.0,2023-04-22,Outbound,262.68,5.0,Growth,Active,3.3333333333333335,267.2761904761905,4.0,4.5,41.5,52.536,0.0963855421686747,False
C1026,Vivaan Singh Solutions,Manufacturing,India,Mumbai,12.0,2024-05-04,Organic Search,698.6,6.0,Business,Churned,7.75,150.5125,1.0,4.0,28.9,116.43333333333334,0.03460207612456748,False
C1027,Vihaan Bose Group,Manufacturing,India,Bengaluru,3000.0,2023-05-06,Paid Ads,778.44,8.0,Business,Churned,3.0,153.11666666666667,2.0,7.0,41.03333333333333,97.305,0.0487408610885459,False
C1028,Ananya Gupta Solutions,Manufacturing,India,Chennai,3000.0,2023-06-06,Partner,294.52,7.0,Growth,Churned,10.842105263157896,158.29999999999998,4.0,5.0,40.0,42.074285714285715,0.1,False
C1029,Sai Khan Technologies,Manufacturing,India,Pune,3000.0,2024-01-20,Referral,698.6,6.0,Business,Active,6.75,264.81666666666666,6.0,6.333333333333333,32.4,116.43333333333334,0.1851851851851852,False
C1030,Rohan Bose Solutions,Finance,India,Delhi,1200.0,2023-04-24,Referral,2458.36,9.0,Enterprise,Active,18.857142857142858,270.2857142857143,2.0,6.0,41.43333333333333,273.1511111111111,0.048270313757039426,True
C1031,Isha Khan Technologies,Logistics,India,Bengaluru,400.0,2025-01-26,Organic Search,294.52,7.0,Growth,Active,,,3.0,6.666666666666667,20.0,42.074285714285715,0.15,False
C1032,Naveen Menon Industries,Retail,India,Pune,1200.0,2025-01-09,Events,60.76,4.0,Starter,Active,,,5.0,4.0,20.566666666666666,15.19,0.24311183144246354,False
C1033,Arun Sharma Industries,Logistics,India,Delhi,35.0,2023-11-30,Paid Ads,342.28,10.0,Growth,Active,10.428571428571429,266.45,5.0,5.4,34.1,34.227999999999994,0.14662756598240467,False
C1034,Sneha Rao Industries,Healthcare,India,Bengaluru,12.0,2025-01-26,Events,2578.28,10.0,Enterprise,Active,,,3.0,4.666666666666667,20.0,257.82800000000003,0.15,True
C1035,Arjun Gupta Industries,Unknown,Singapore,Singapore,80.0,2023-06-21,Outbound,1978.68,5.0,Enterprise,Active,9.0,284.2421052631579,7.0,5.571428571428571,39.5,395.736,0.17721518987341772,True
C1036,Krishna Sharma Solutions,Retail,India,Mumbai,1200.0,2023-08-24,Organic Search,80.36,9.0,Starter,Active,9.882352941176471,232.74117647058824,6.0,5.833333333333333,37.36666666666667,8.928888888888888,0.16057091882247992,False
C1037,Diya Das Industries,Education,Uae,Abu Dhabi,150.0,2024-02-26,Partner,1978.68,5.0,Enterprise,Churned,3.8181818181818183,173.79090909090908,3.0,5.666666666666667,31.166666666666668,395.736,0.0962566844919786,True
C1038,Sneha Menon Industries,Logistics,India,Hyderabad,35.0,2023-05-06,Outbound,246.76,4.0,Growth,Churned,5.071428571428571,134.1357142857143,4.0,4.25,41.03333333333333,61.69,0.0974817221770918,False
C1039,Arjun Iyer Systems,Logistics,India,Chennai,12.0,2023-03-23,Referral,76.44,8.0,Starter,Active,3.772727272727273,244.15454545454543,2.0,6.5,42.5,9.555,0.047058823529411764,False
C1040,Reyansh Nair Labs,Retail,Uk,London,12.0,2024-02-13,Paid Ads,326.36,9.0,Growth,Active,8.363636363636363,231.4181818181818,4.0,5.75,31.6,36.26222222222222,0.12658227848101264,False
C1041,Sanjay Khan Systems,Manufacturing,India,Pune,12.0,2023-12-30,Outbound,437.8,16.0,Growth,Active,8.538461538461538,243.34615384615384,2.0,5.5,33.1,27.3625,0.060422960725075525,False
C1042,Meera Iyer Industries,Finance,Uk,London,35.0,2023-05-12,Paid Ads,60.76,4.0,Starter,Active,15.55,259.895,3.0,6.0,40.833333333333336,15.19,0.07346938775510203,False
C1043,Aadhya Khan Systems,Manufacturing,Usa,Seattle,35.0,2023-07-25,Paid Ads,698.6,6.0,Business,Churned,9.61111111111111,183.34444444444443,2.0,4.0,38.36666666666667,116.43333333333334,0.052128583840139006,False
C1044,Krishna Bose Solutions,Retail,Usa,Austin,400.0,2024-07-08,Paid Ads,246.76,4.0,Growth,Churned,13.0,180.86666666666667,3.0,5.0,26.733333333333334,61.69,0.11221945137157106,False
C1045,Kavya Verma Solutions,Retail,Usa,Austin,12.0,2024-06-10,Paid Ads,2578.28,10.0,Enterprise,Active,8.714285714285714,241.20000000000002,5.0,6.4,27.666666666666668,257.82800000000003,0.18072289156626506,True
C1046,Tara Patel Industries,Retail,India,Chennai,12.0,2023-09-04,Organic Search,294.52,3.0,Enterprise,Churned,2.1875,165.7875,6.0,5.833333333333333,37.0,98.17333333333333,0.16216216216216217,False
C1047,Rohan Das Technologies,Media,India,Hyderabad,150.0,2024-06-01,Paid Ads,80.36,9.0,Starter,Active,20.0,233.7428571428571,1.0,5.0,27.966666666666665,8.928888888888888,0.03575685339690107,False
C1048,Aman Singh Labs,Finance,India,Mumbai,80.0,2023-07-25,Paid Ads,658.68,5.0,Business,Active,3.4444444444444446,193.27222222222224,3.0,5.0,38.36666666666667,131.736,0.07819287576020852,False
C1049,Farhan Gupta Labs,Education,Usa,Boston,12.0,2024-10-06,Organic Search,4676.88,16.0,Enterprise,Active,10.666666666666666,228.63333333333335,7.0,6.714285714285714,23.733333333333334,292.305,0.2949438202247191,True
C1050,Arun Khan Solutions,Retail,Uae,Abu Dhabi,150.0,2023-07-09,Organic Search,1825.3600000000001,10.0,Enterprise,Churned,9.181818181818182,203.86363636363637,3.0,6.0,38.9,182.536,0.07712082262210797,True
C1051,Priya Gupta Labs,Manufacturing,Singapore,Singapore,400.0,2024-08-01,Partner,262.68,5.0,Growth,Active,18.4,257.26,5.0,7.2,25.933333333333334,52.536,0.1928020565552699,False
C1052,Aadhya Reddy Labs,Finance,Usa,Austin,150.0,2024-05-10,Organic Search,390.04,13.0,Growth,Active,11.5,266.4875,4.0,5.25,28.7,30.003076923076925,0.13937282229965156,False
C1053,Sanjay Joshi Group,Finance,Uk,London,1200.0,2023-05-25,Partner,310.44,8.0,Growth,Churned,5.6,134.4933333333333,2.0,6.5,40.4,38.805,0.04950495049504951,False
C1054,Arjun Bose Group,Manufacturing,India,Chennai,80.0,2024-11-14,Paid Ads,818.36,9.0,Business,Active,7.0,412.45,3.0,5.333333333333333,22.433333333333334,90.92888888888889,0.1337295690936107,False
C1055,Arun Rao Technologies,Education,Uk,Manchester,12.0,2023-03-25,Referral,68.6,6.0,Starter,Churned,7.444444444444445,145.66111111111113,3.0,6.0,42.43333333333333,11.433333333333332,0.07069913589945012,False
C1056,Kavya Rao Systems,Healthcare,India,Pune,80.0,2024-07-30,Events,658.68,5.0,Business,Active,2.3333333333333335,280.2833333333333,4.0,4.5,26.0,131.736,0.15384615384615385,False
C1057,Reyansh Joshi Industries,Media,India,Delhi,1200.0,2023-11-12,Referral,76.44,8.0,Starter,Active,18.571428571428573,219.79285714285714,1.0,9.0,34.7,9.555,0.02881844380403458,False
C1058,Riya Das Labs,Healthcare,India,Chennai,12.0,2024-08-27,Referral,64.68,5.0,Starter,Churned,9.0,144.8,1.0,9.0,25.066666666666666,12.936000000000002,0.0398936170212766,False
C1059,Myra Verma Labs,Media,Singapore,Singapore,80.0,2024-07-16,Organic Search,658.68,5.0,Business,Active,18.833333333333332,264.55,2.0,6.5,26.466666666666665,131.736,0.07556675062972293,False
C1060,Aarav Reddy Systems,Media,Uk,London,150.0,2023-07-09,Organic Search,80.36,9.0,Starter,Active,21.38888888888889,243.0388888888889,2.0,5.5,38.9,8.928888888888888,0.05141388174807198,False
C1061,Isha Gupta Group,Finance,Usa,Boston,150.0,2023-06-02,Paid Ads,310.44,8.0,Growth,Active,14.0,271.32631578947365,2.0,6.5,40.13333333333333,38.805,0.04983388704318937,False
C1062,Kavya Das Solutions,Manufacturing,India,Mumbai,3000.0,2023-06-02,Paid Ads,358.2,11.0,Growth,Churned,2.0,146.0,2.0,5.0,40.13333333333333,32.56363636363636,0.04983388704318937,False
C1063,Rahul Menon Systems,Logistics,Usa,Austin,12.0,2023-06-09,Events,56.84,3.0,Starter,Churned,5.2,146.06,4.0,4.75,39.9,18.94666666666667,0.10025062656641605,False
C1064,Riya Sharma Technologies,Logistics,India,Chennai,35.0,2024-03-21,Paid Ads,68.6,6.0,Starter,Active,8.8,254.6,1.0,8.0,30.366666666666667,11.433333333333332,0.03293084522502744,False
C1065,Priya Verma Systems,Education,India,Chennai,3000.0,2023-10-25,Organic Search,898.2,11.0,Business,Active,6.0,273.18,4.0,6.25,35.3,81.65454545454546,0.113314447592068,False
C1066,Ishaan Reddy Solutions,Education,Uk,Manchester,80.0,2024-07-18,Organic Search,88.2,11.0,Starter,Active,5.333333333333333,234.61666666666667,3.0,3.3333333333333335,26.4,8.018181818181818,0.11363636363636365,False
C1067,Tara Khan Group,Logistics,India,Delhi,80.0,2024-02-10,Partner,326.36,9.0,Growth,Active,12.636363636363637,214.62727272727273,6.0,5.833333333333333,31.7,36.26222222222222,0.18927444794952683,False
C1068,Ananya Gupta Industries,Healthcare,Usa,Seattle,150.0,2024-11-04,Organic Search,262.68,5.0,Growth,Active,2.5,312.79999999999995,2.0,5.5,22.766666666666666,52.536,0.08784773060029283,False
C1069,Aadhya Joshi Systems,Logistics,India,Hyderabad,35.0,2023-08-15,Partner,80.36,9.0,Starter,Active,15.411764705882353,267.58235294117645,2.0,7.5,37.666666666666664,8.928888888888888,0.05309734513274337,False
C1070,Kiara Das Solutions,Manufacturing,Uk,Manchester,35.0,2025-01-25,Organic Search,64.68,5.0,Starter,Active,,,3.0,7.0,20.033333333333335,12.936000000000002,0.14975041597337768,False
C1071,Arjun Patel Labs,Education,Usa,Austin,35.0,2024-09-11,Organic Search,326.36,9.0,Growth,Active,20.5,242.325,4.0,6.0,24.566666666666666,36.26222222222222,0.1628222523744912,False
C1072,Rohan Gupta Technologies,Media,India,Pune,400.0,2023-04-22,Paid Ads,278.6,6.0,Growth,Active,17.523809523809526,232.34285714285713,8.0,5.75,41.5,46.43333333333334,0.1927710843373494,False
C1073,Vivaan Menon Group,Logistics,Uk,London,80.0,2023-08-20,Partner,84.28,10.0,Starter,Active,8.823529411764707,276.40588235294115,4.0,3.25,37.5,8.428,0.10666666666666667,False
C1074,Priya Khan Group,Finance,Uk,London,1200.0,2024-10-11,Referral,294.52,7.0,Growth,Active,7.333333333333333,215.66666666666666,5.0,4.4,23.566666666666666,42.074285714285715,0.21216407355021216,False
C1075,Ishaan Khan Industries,Healthcare,India,Pune,35.0,2024-05-01,Organic Search,738.52,7.0,Business,Active,4.875,253.825,5.0,6.6,29.0,105.50285714285714,0.1724137931034483,False
C1076,Arun Khan Labs,Education,India,Chennai,400.0,2024-05-26,Organic Search,2542.6400000000003,19.0,Enterprise,Active,12.125,149.575,3.0,4.0,28.166666666666668,133.82315789473685,0.10650887573964496,True
C1077,Krishna Nair Industries,Retail,Usa,Austin,1200.0,2024-03-10,Paid Ads,80.36,9.0,Starter,Active,6.4,231.76,4.0,7.5,30.733333333333334,8.928888888888888,0.1301518438177874,False
C1078,Rohan Patel Group,Media,India,Chennai,12.0,2024-03-09,Organic Search,76.44,8.0,Starter,Active,3.2,228.05,8.0,6.0,30.766666666666666,9.555,0.2600216684723727,False
C1079,Arun Rao Industries,Education,Usa,Austin,150.0,2024-07-30,Organic Search,778.44,8.0,Business,Active,12.166666666666666,218.1,5.0,7.2,26.0,97.305,0.19230769230769232,False
C1080,Rohan Sharma Group,Media,India,Bengaluru,35.0,2024-05-05,Partner,310.44,8.0,Growth,Active,3.625,227.14999999999998,2.0,5.5,28.866666666666667,38.805,0.06928406466512702,False
C1081,Ananya Nair Group,Logistics,Usa,Austin,12.0,2024-04-01,Outbound,64.68,5.0,Starter,Active,2.3333333333333335,240.5222222222222,3.0,6.666666666666667,30.0,12.936000000000002,0.1,False
C1082,Aadhya Nair Systems,Finance,India,Delhi,35.0,2024-06-06,Paid Ads,294.52,7.0,Growth,Active,13.142857142857142,284.87142857142857,6.0,4.333333333333333,27.8,42.074285714285715,0.2158273381294964,False
C1083,Deepak Das Group,Retail,India,Mumbai,1200.0,2024-03-01,Organic Search,80.36,9.0,Starter,Active,6.3,261.63,1.0,5.0,31.033333333333335,8.928888888888888,0.032223415682062294,False
C1084,Meera Patel Industries,Finance,Singapore,Singapore,35.0,2025-01-17,Organic Search,294.52,7.0,Growth,Active,,,5.0,6.6,20.3,42.074285714285715,0.24630541871921183,False
C1085,Aditya Reddy Group,Logistics,Singapore,Singapore,12.0,2023-06-17,Partner,618.76,4.0,Business,Churned,13.625,158.63750000000002,2.0,8.0,39.63333333333333,154.69,0.050462573591253154,False
C1086,Karthik Sharma Systems,Media,Usa,Boston,400.0,2023-04-29,Organic Search,818.36,9.0,Business,Active,2.1904761904761907,247.0857142857143,2.0,2.5,41.266666666666666,90.92888888888889,0.048465266558966075,False
C1087,Diya Iyer Labs,Retail,India,Mumbai,12.0,2024-11-03,Outbound,60.76,4.0,Starter,Active,5.0,184.5,4.0,5.75,22.8,15.19,0.17543859649122806,False
C1088,Reyansh Das Technologies,Healthcare,Uae,Dubai,12.0,2023-06-30,Events,310.44,8.0,Growth,Active,3.4210526315789473,230.11052631578949,3.0,6.333333333333333,39.2,38.805,0.07653061224489795,False
C1089,Reyansh Bose Solutions,Manufacturing,Uk,London,150.0,2024-05-27,Organic Search,294.52,9.0,Starter,Active,2.75,320.4875,4.0,7.5,28.133333333333333,32.724444444444444,0.14218009478672985,False
C1090,Aarav Menon Group,Manufacturing,Singapore,Singapore,150.0,2024-10-05,Partner,326.36,9.0,Growth,Churned,3.0,183.9333333333333,3.0,6.333333333333333,23.766666666666666,36.26222222222222,0.12622720897615708,False
C1091,Myra Nair Solutions,Finance,India,Bengaluru,35.0,2024-11-17,Events,618.76,4.0,Business,Active,6.5,369.54999999999995,3.0,1.0,22.333333333333332,154.69,0.13432835820895522,False
C1092,Aman Sharma Solutions,Retail,India,Delhi,150.0,2024-12-05,Organic Search,68.6,6.0,Starter,Active,7.0,221.8,2.0,4.5,21.733333333333334,11.433333333333332,0.09202453987730061,False
C1093,Aarav Joshi Technologies,Retail,India,Mumbai,400.0,2023-05-28,Organic Search,658.68,5.0,Business,Active,13.15,284.40999999999997,5.0,5.4,40.3,131.736,0.12406947890818859,False
C1094,Isha Nair Solutions,Retail,Usa,Seattle,80.0,2023-03-05,Referral,1858.76,4.0,Enterprise,Active,17.136363636363637,248.61363636363637,2.0,5.0,43.1,464.69,0.04640371229698376,True
C1095,Aarav Das Industries,Logistics,Singapore,Singapore,400.0,2023-02-13,Partner,72.52,7.0,Starter,Active,7.391304347826087,227.16086956521738,2.0,2.0,43.766666666666666,10.36,0.0456968773800457,False
C1096,Deepak Gupta Labs,Finance,Usa,Boston,150.0,2024-03-07,Organic Search,310.44,8.0,Growth,Active,15.1,254.92,5.0,6.4,30.833333333333332,38.805,0.16216216216216217,False
C1097,Diya Gupta Industries,Logistics,Usa,Boston,1200.0,2024-12-24,Paid Ads,68.6,6.0,Starter,Churned,4.0,350.7,5.0,7.0,21.1,11.433333333333332,0.23696682464454974,False
C1098,Myra Nair Systems,Logistics,Uk,London,12.0,2024-04-24,Organic Search,818.36,9.0,Business,Active,8.666666666666666,284.4111111111111,3.0,5.0,29.233333333333334,90.92888888888889,0.10262257696693272,False
C1099,Ishaan Patel Group,Logistics,India,Mumbai,1200.0,2023-02-17,Paid Ads,88.2,11.0,Starter,Churned,5.3076923076923075,149.09230769230768,3.0,6.333333333333333,43.63333333333333,8.018181818181818,0.06875477463712758,False
C1100,Priya Gupta Solutions,Healthcare,Uae,Abu Dhabi,80.0,2024-07-27,Partner,2098.6,6.0,Enterprise,Active,16.5,246.26666666666665,2.0,4.5,26.1,349.76666666666665,0.07662835249042145,True
C1101,Zoya Bose Industries,Finance,Uk,London,400.0,2023-02-24,Outbound,294.52,7.0,Growth,Active,7.217391304347826,244.4086956521739,2.0,4.0,43.4,42.074285714285715,0.04608294930875576,False
C1102,Deepak Iyer Solutions,Retail,India,Delhi,150.0,2023-03-18,Paid Ads,2218.52,7.0,Enterprise,Paused,14.954545454545455,240.34545454545452,2.0,6.5,42.666666666666664,316.93142857142857,0.046875,True
C1103,Pooja Menon Group,Retail,India,Mumbai,1200.0,2023-07-30,,3057.96,14.0,Enterprise,Active,11.38888888888889,251.96666666666664,2.0,5.0,38.2,218.4257142857143,0.05235602094240837,True
C1104,Farhan Iyer Group,Finance,Singapore,Singapore,12.0,2024-10-10,Events,72.52,7.0,Starter,Active,4.666666666666667,243.9333333333333,1.0,2.0,23.6,10.36,0.0423728813559322,False
C1105,Riya Gupta Labs,Media,India,Bengaluru,12.0,2023-01-30,Organic Search,698.6,6.0,Business,Active,9.083333333333334,255.6291666666667,2.0,6.5,44.233333333333334,116.43333333333334,0.0452147701582517,False
C1106,Ananya Singh Group,Logistics,Singapore,Singapore,80.0,2024-09-29,Referral,199.0,1.0,Growth,Active,4.75,265.70000000000005,3.0,4.333333333333333,23.966666666666665,199.0,0.12517385257301808,False
C1107,Isha Nair Technologies,Retail,India,Pune,3000.0,2023-12-07,Partner,64.68,5.0,Starter,Churned,10.076923076923077,128.42307692307693,4.0,4.75,33.86666666666667,12.936000000000002,0.11811023622047244,False
C1108,Saanvi Joshi Systems,Unknown,Singapore,Singapore,150.0,2023-01-14,Paid Ads,68.6,6.0,Starter,Paused,13.291666666666666,248.1,2.0,8.5,44.766666666666666,11.433333333333332,0.044676098287416234,False
C1109,Kiara Verma Industries,Retail,Uae,Dubai,80.0,2023-02-19,Organic Search,262.68,5.0,Growth,Active,17.26086956521739,237.0608695652174,6.0,6.166666666666667,43.56666666666667,52.536,0.13771996939556236,False
C1110,Tara Sharma Solutions,Media,Uk,Manchester,35.0,2024-07-30,Outbound,294.52,7.0,Growth,Active,11.666666666666666,300.6333333333333,1.0,7.0,26.0,42.074285714285715,0.038461538461538464,False
C1111,Priya Khan Industries,Unknown,Uae,Abu Dhabi,35.0,2024-06-30,Organic Search,658.68,5.0,Business,Active,13.857142857142858,293.65714285714284,6.0,5.166666666666667,27.0,131.736,0.2222222222222222,False
C1112,Aarav Singh Labs,Education,Uk,London,1200.0,2023-07-25,Partner,72.52,7.0,Starter,Churned,12.3125,131.1,7.0,6.0,38.36666666666667,10.36,0.18245004344048654,False
C1113,Riya Iyer Technologies,Healthcare,India,Chennai,12.0,2024-09-12,Outbound,2578.28,10.0,Enterprise,Active,18.75,224.575,5.0,5.0,24.533333333333335,257.82800000000003,0.20380434782608695,True
C1114,Aadhya Das Industries,Manufacturing,Usa,Boston,35.0,2024-11-26,Outbound,80.36,9.0,Starter,Active,21.5,355.95,2.0,4.5,22.033333333333335,8.928888888888888,0.0907715582450832,False
C1115,Rahul Rao Labs,Finance,Uae,Dubai,12.0,2024-09-16,Partner,88.2,11.0,Starter,Churned,8.0,231.42499999999998,5.0,6.0,24.4,8.018181818181818,0.20491803278688525,False
C1116,Isha Gupta Group,Finance,India,Mumbai,35.0,2024-12-01,Partner,80.36,9.0,Starter,Active,3.0,206.0,5.0,5.2,21.866666666666667,8.928888888888888,0.22865853658536586,False
C1117,Arun Gupta Labs,Education,Uae,Abu Dhabi,400.0,2024-01-27,Events,738.52,7.0,Business,Churned,7.0,279.7,3.0,4.666666666666667,32.166666666666664,105.50285714285714,0.09326424870466322,False
C1118,Ishaan Reddy Group,Education,Uae,Abu Dhabi,400.0,2024-07-17,Events,278.6,6.0,Growth,Active,4.166666666666667,215.79999999999998,1.0,2.0,26.433333333333334,46.43333333333334,0.03783102143757881,False
C1119,Deepak Verma Systems,Logistics,India,Bengaluru,80.0,2023-07-29,Referral,72.52,7.0,Starter,Active,7.944444444444445,248.10000000000002,3.0,7.333333333333333,38.233333333333334,10.36,0.07846556233653007,False
C1120,Pooja Rao Solutions,Manufacturing,Uae,Abu Dhabi,80.0,2024-06-20,Outbound,310.44,8.0,Growth,Active,7.571428571428571,298.7714285714286,2.0,5.0,27.333333333333332,38.805,0.07317073170731708,False
C1121,Ishaan Singh Group,Logistics,India,Mumbai,1200.0,2023-04-13,Events,1858.76,4.0,Enterprise,Active,17.19047619047619,266.49523809523805,3.0,6.0,41.8,464.69,0.07177033492822966,True
C1122,Aarav Gupta Technologies,Logistics,India,Bengaluru,12.0,2024-04-06,Referral,310.44,8.0,Growth,Churned,6.375,164.5875,3.0,5.0,29.833333333333332,38.805,0.1005586592178771,False
C1123,Vihaan Joshi Solutions,Manufacturing,India,Mumbai,400.0,2024-05-09,Outbound,92.12,12.0,Starter,Active,12.875,280.725,5.0,5.0,28.733333333333334,7.676666666666667,0.1740139211136891,False
C1124,Krishna Sharma Systems,Manufacturing,Uk,Manchester,150.0,2024-08-09,Partner,278.6,6.0,Growth,Active,5.4,310.65999999999997,1.0,6.0,25.666666666666668,46.43333333333334,0.03896103896103896,False
C1125,Kiara Verma Systems,Media,Uk,London,12.0,2023-06-17,Referral,88.2,11.0,Starter,Churned,12.214285714285714,138.44285714285715,5.0,5.6,39.63333333333333,8.018181818181818,0.1261564339781329,False
C1126,Sneha Iyer Group,Retail,India,Chennai,35.0,2023-10-11,Outbound,96.04,13.0,Starter,Active,13.2,268.49333333333334,4.0,5.25,35.766666666666666,7.3876923076923084,0.11183597390493942,False
C1127,Divya Gupta Labs,Education,Uae,Abu Dhabi,35.0,2024-03-16,Partner,278.6,6.0,Growth,Active,17.3,241.11999999999998,6.0,4.166666666666667,30.533333333333335,46.43333333333334,0.1965065502183406,False
C1128,Sneha Rao Industries,Finance,India,Mumbai,400.0,2023-09-29,Organic Search,88.2,11.0,Starter,Active,20.3125,241.3875,2.0,6.5,36.166666666666664,8.018181818181818,0.055299539170506916,False
C1129,Farhan Reddy Labs,Manufacturing,India,Mumbai,3000.0,2024-05-26,Referral,858.28,10.0,Business,Churned,7.125,214.6625,3.0,6.333333333333333,28.166666666666668,85.828,0.10650887573964496,False
C1130,Nikita Iyer Technologies,Media,Uae,Dubai,150.0,2024-03-26,,80.36,9.0,Starter,Active,18.1,261.88,3.0,8.333333333333334,30.2,8.928888888888888,0.09933774834437087,False
C1131,Aditya Menon Industries,Manufacturing,Uae,Abu Dhabi,80.0,2023-05-05,Organic Search,525.36,10.0,Growth,Paused,6.142857142857143,197.4047619047619,4.0,4.75,41.06666666666667,52.536,0.0974025974025974,False
