Cohort,MonthNo,ActiveCustomers,CohortSize,RetentionRate
2023-09,5,15,15,100.0
2023-09,6,15,15,100.0
2023-09,7,15,15,100.0
2023-09,8,15,15,100.0
2023-09,9,15,15,100.0
2023-09,10,15,15,100.0
2023-09,11,15,15,100.0
2023-09,12,15,15,100.0
2023-09,13,14,15,93.33
2023-09,14,14,15,93.33
2023-09,15,13,15,86.67
2023-10,0,13,13,100.0
2023-10,1,13,13,100.0
2023-10,2,13,13,100.0
2023-10,3,13,13,100.0
2023-10,4,13,13,100.0
2023-10,5,13,13,100.0
2023-10,6,13,13,100.0
2023-10,7,13,13,100.0
2023-10,8,13,13,100.0
2023-10,9,13,13,100.0
2023-10,10,13,13,100.0
2023-10,11,13,13,100.0
2023-10,12,12,13,92.31
2023-10,13,12,13,92.31
2023-10,14,12,13,92.31
2023-11,0,15,15,100.0
2023-11,1,15,15,100.0
2023-11,2,15,15,100.0
2023-11,3,15,15,100.0
2023-11,4,14,15,93.33
2023-11,5,14,15,93.33
2023-11,6,12,15,80.0
2023-11,7,12,15,80.0
2023-11,8,12,15,80.0
2023-11,9,12,15,80.0
2023-11,10,12,15,80.0
2023-11,11,12,15,80.0
2023-11,12,11,15,73.33
2023-11,13,11,15,73.33
2023-12,0,17,17,100.0
2023-12,1,17,17,100.0
2023-12,2,17,17,100.0
2023-12,3,17,17,100.0
2023-12,4,17,17,100.0
2023-12,5,17,17,100.0
2023-12,6,15,17,88.24
2023-12,7,13,17,76.47
2023-12,8,12,17,70.59
2023-12,9,12,17,70.59
2023-12,10,12,17,70.59
2023-12,11,11,17,64.71
2023-12,12,11,17,64.71
2024-01,0,10,10,100.0
2024-01,1,10,10,100.0
2024-01,2,10,10,100.0
2024-01,3,9,10,90.0
2024-01,4,9,10,90.0
2024-01,5,9,10,90.0
2024-01,6,9,10,90.0
2024-01,7,9,10,90.0
2024-01,8,9,10,90.0
2024-01,9,9,10,90.0
2024-01,10,9,10,90.0
2024-01,11,9,10,90.0
2024-02,0,16,16,100.0
2024-02,1,16,16,100.0
2024-02,2,16,16,100.0
2024-02,3,16,16,100.0
2024-02,4,16,16,100.0
2024-02,5,15,16,93.75
2024-02,6,15,16,93.75
2024-02,7,15,16,93.75
2024-02,8,15,16,93.75
2024-02,9,15,16,93.75
2024-02,10,15,16,93.75
2024-03,0,24,24,100.0
2024-03,1,24,24,100.0
2024-03,2,24,24,100.0
2024-03,3,24,24,100.0
2024-03,4,22,24,91.67
2024-03,5,21,24,87.5
2024-03,6,21,24,87.5
2024-03,7,21,24,87.5
2024-03,8,21,24,87.5
2024-03,9,21,24,87.5
2024-04,0,14,14,100.0
2024-04,1,14,14,100.0
2024-04,2,14,14,100.0
2024-04,3,14,14,100.0
2024-04,4,14,14,100.0
2024-04,5,13,14,92.86
2024-04,6,13,14,92.86
2024-04,7,13,14,92.86
2024-04,8,12,14,85.71
2024-05,0,14,14,100.0
2024-05,1,14,14,100.0
2024-05,2,14,14,100.0
2024-05,3,14,14,100.0
2024-05,4,14,14,100.0
2024-05,5,14,14,100.0
2024-05,6,14,14,100.0
2024-05,7,14,14,100.0
2024-06,0,18,18,100.0
2024-06,1,18,18,100.0
2024-06,2,18,18,100.0
2024-06,3,18,18,100.0
2024-06,4,18,18,100.0
2024-06,5,17,18,94.44
2024-06,6,17,18,94.44
2024-07,0,16,16,100.0
2024-07,1,16,16,100.0
2024-07,2,16,16,100.0
2024-07,3,16,16,100.0
2024-07,4,15,16,93.75
2024-07,5,15,16,93.75
2024-08,0,26,26,100.0
2024-08,1,26,26,100.0
2024-08,2,26,26,100.0
2024-08,3,26,26,100.0
2024-08,4,26,26,100.0
2024-09,0,15,15,100.0
2024-09,1,15,15,100.0
2024-09,2,15,15,100.0
2024-09,3,15,15,100.0
2024-10,0,18,18,100.0
2024-10,1,18,18,100.0
2024-10,2,18,18,100.0
2024-11,0,19,19,100.0
2024-11,1,19,19,100.0
2024-12,0,14,14,100.0
