CustomerID,CompanyName,TotalMRR
C1166,"Deepak Joshi Industries",2338.44
C1169,"Reyansh Menon Solutions",658.68
C1172,"Reyansh Menon Industries",818.36
C1182,"Arun Menon Labs",1978.68
C1184,"Meera Verma Group",818.36
C1186,"Diya Rao Technologies",738.52
C1188,"Tara Rao Industries",778.44
C1194,"Zoya Bose Group",3957.3599999999997
C1195,"Aman Gupta Labs",2578.28
C1198,"Ananya Sharma Labs",2218.52
C1201,"Naveen Patel Labs",1858.76
C1202,"Karthik Iyer Labs",1112.88
C1203,"Saanvi Reddy Industries",858.28
C1204,"Aman Reddy Systems",2338.44
C1205,"Isha Joshi Labs",778.44
C1206,"Zoya Gupta Group",738.52
C1209,"Rahul Khan Systems",658.68
C1217,"Sai Iyer Industries",1858.76
C1220,"Diya Rao Solutions",658.68
C1222,"Aarav Verma Labs",818.36
C1224,"Isha Patel Technologies",898.2
C1227,"Karthik Das Industries",698.6
C1230,"Ishaan Patel Industries",1009.04
C1232,"Rohan Bose Systems",738.52
C1239,"Pooja Nair Solutions",1738.84
C1241,"Rohan Iyer Group",2098.6
C1242,"Deepak Bose Group",2648.88
C1246,"Aditya Sharma Group",618.76
C1247,"Karthik Sharma Technologies",738.52
C1248,"Farhan Bose Solutions",738.52
C1249,"Ananya Singh Solutions",698.6
C1250,"Sai Rao Industries",1978.68
C1251,"Diya Khan Group",818.36
C1252,"Meera Sharma Industries",2098.6
C1256,"Sai Gupta Technologies",1978.68
C1257,"Vihaan Patel Solutions",1858.76
C1258,"Myra Verma Technologies",658.68
C1259,"Priya Reddy Systems",778.44
C1260,"Meera Iyer Technologies",818.36
C1261,"Reyansh Menon Labs",1978.68
C1263,"Deepak Reddy Industries",2338.44
C1264,"Aarav Nair Solutions",698.6
C1267,"Nikita Rao Industries",2098.6
C1272,"Pooja Joshi Industries",2218.52
C1273,"Ananya Menon Systems",818.36
C1275,"Nikita Verma Technologies",1499
C1281,"Farhan Das Group",2098.6
C1282,"Nikita Menon Solutions",1978.68
C1284,"Zoya Das Group",1978.68
C1285,"Isha Verma Solutions",778.44
C1288,"Kiara Das Labs",1618.92
C1290,"Riya Singh Systems",2578.28
C1296,"Saanvi Khan Group",658.68
C1297,"Naveen Sharma Technologies",698.6
C1302,"Ishaan Singh Industries",778.44
C1308,"Naveen Gupta Labs",2458.36
C1310,"Riya Das Technologies",778.44
C1313,"Krishna Joshi Solutions",1978.68
C1324,"Karthik Reddy Technologies",2458.36
C1325,"Ishaan Reddy Group",2338.44
C1327,"Nikita Menon Group",2098.6
C1332,"Diya Singh Labs",618.76
C1334,"Sai Menon Group",1978.68
C1335,"Karthik Rao Systems",778.44
C1336,"Sai Reddy Industries",658.68
C1341,"Isha Singh Group",2218.52
C1348,"Aditya Menon Labs",618.76
C1349,"Krishna Joshi Systems",2458.36
C1350,"Deepak Gupta Labs",1978.68
C1352,"Aditya Patel Industries",2578.28
C1356,"Divya Joshi Industries",618.76
C1359,"Aman Rao Group",658.68
C1361,"Meera Khan Systems",658.68
C1364,"Aarav Bose Labs",1978.68
C1365,"Diya Joshi Industries",778.44
C1369,"Meera Reddy Industries",2098.6
C1370,"Arun Joshi Group",658.68
C1374,"Ananya Joshi Industries",778.44
C1377,"Zoya Bose Technologies",698.6
C1380,"Ishaan Reddy Labs",1618.92
C1381,"Diya Nair Systems",2218.52
C1384,"Arjun Joshi Technologies",2098.6
C1385,"Vihaan Das Group",2218.52
C1389,"Meera Sharma Industries",738.52
C1395,"Deepak Patel Labs",3177.88
C1397,"Divya Reddy Group",938.12
C1399,"Aman Patel Technologies",658.68
C1404,"Rahul Nair Labs",778.44
C1407,"Meera Gupta Labs",738.52
C1412,"Farhan Verma Solutions",2534.8
C1415,"Sneha Rao Group",778.44
C1416,"Sneha Sharma Systems",658.68
