CustomerID,CompanyName,TotalMRR,CustomerValue
C1023,"Meera Menon Industries",778.44,"Medium Value"
C1027,"Vihaan Bose Group",778.44,"Medium Value"
C1079,"Arun Rao Industries",778.44,"Medium Value"
C1148,"Divya Bose Solutions",778.44,"Medium Value"
C1151,"Aman Gupta Solutions",778.44,"Medium Value"
C1188,"Tara Rao Industries",778.44,"Medium Value"
C1205,"Isha Joshi Labs",778.44,"Medium Value"
C1259,"Priya Reddy Systems",778.44,"Medium Value"
C1285,"Isha Verma Solutions",778.44,"Medium Value"
C1302,"Ishaan Singh Industries",778.44,"Medium Value"
C1310,"Riya Das Technologies",778.44,"Medium Value"
C1335,"Karthik Rao Systems",778.44,"Medium Value"
C1365,"Diya Joshi Industries",778.44,"Medium Value"
C1374,"Ananya Joshi Industries",778.44,"Medium Value"
C1404,"Rahul Nair Labs",778.44,"Medium Value"
C1415,"Sneha Rao Group",778.44,"Medium Value"
C1132,"Sneha Khan Solutions",775.04,"Medium Value"
C1075,"Ishaan Khan Industries",738.52,"Medium Value"
C1117,"Arun Gupta Labs",738.52,"Medium Value"
C1186,"Diya Rao Technologies",738.52,"Medium Value"
C1206,"Zoya Gupta Group",738.52,"Medium Value"
C1232,"Rohan Bose Systems",738.52,"Medium Value"
C1247,"Karthik Sharma Technologies",738.52,"Medium Value"
C1248,"Farhan Bose Solutions",738.52,"Medium Value"
C1389,"Meera Sharma Industries",738.52,"Medium Value"
C1407,"Meera Gupta Labs",738.52,"Medium Value"
C1154,"Kiara Das Group",723.3599999999999,"Medium Value"
C1026,"Vivaan Singh Solutions",698.6,"Medium Value"
C1029,"Sai Khan Technologies",698.6,"Medium Value"
C1043,"Aadhya Khan Systems",698.6,"Medium Value"
C1105,"Riya Gupta Labs",698.6,"Medium Value"
C1227,"Karthik Das Industries",698.6,"Medium Value"
C1249,"Ananya Singh Solutions",698.6,"Medium Value"
C1264,"Aarav Nair Solutions",698.6,"Medium Value"
C1297,"Naveen Sharma Technologies",698.6,"Medium Value"
C1377,"Zoya Bose Technologies",698.6,"Medium Value"
C1007,"Sai Das Technologies",658.68,"Medium Value"
C1048,"Aman Singh Labs",658.68,"Medium Value"
C1056,"Kavya Rao Systems",658.68,"Medium Value"
C1059,"Myra Verma Labs",658.68,"Medium Value"
C1093,"Aarav Joshi Technologies",658.68,"Medium Value"
C1111,"Priya Khan Industries",658.68,"Medium Value"
C1169,"Reyansh Menon Solutions",658.68,"Medium Value"
C1209,"Rahul Khan Systems",658.68,"Medium Value"
C1220,"Diya Rao Solutions",658.68,"Medium Value"
C1258,"Myra Verma Technologies",658.68,"Medium Value"
C1296,"Saanvi Khan Group",658.68,"Medium Value"
C1336,"Sai Reddy Industries",658.68,"Medium Value"
C1359,"Aman Rao Group",658.68,"Medium Value"
C1361,"Meera Khan Systems",658.68,"Medium Value"
C1370,"Arun Joshi Group",658.68,"Medium Value"
C1399,"Aman Patel Technologies",658.68,"Medium Value"
C1416,"Sneha Sharma Systems",658.68,"Medium Value"
C1005,"Tara Joshi Systems",618.76,"Medium Value"
C1085,"Aditya Reddy Group",618.76,"Medium Value"
C1091,"Myra Nair Solutions",618.76,"Medium Value"
C1153,"Aadhya Patel Solutions",618.76,"Medium Value"
C1246,"Aditya Sharma Group",618.76,"Medium Value"
C1332,"Diya Singh Labs",618.76,"Medium Value"
C1348,"Aditya Menon Labs",618.76,"Medium Value"
C1356,"Divya Joshi Industries",618.76,"Medium Value"
C1150,"Rahul Singh Technologies",578.84,"Medium Value"
C1187,"Pooja Gupta Group",578.84,"Medium Value"
C1233,"Deepak Patel Labs",578.84,"Medium Value"
C1212,"Sai Verma Solutions",538.92,"Medium Value"
C1330,"Ananya Sharma Group",538.92,"Medium Value"
C1131,"Aditya Menon Industries",525.36,"Medium Value"
C1041,"Sanjay Khan Systems",437.8,"Low Value"
C1214,"Sneha Sharma Technologies",405.96,"Low Value"
C1183,"Sanjay Gupta Labs",402.8,"Low Value"
C1052,"Aadhya Reddy Labs",390.04,"Low Value"
C1378,"Sneha Reddy Solutions",383.20000000000005,"Low Value"
C1299,"Rahul Iyer Group",374.12,"Low Value"
C1062,"Kavya Das Solutions",358.2,"Low Value"
C1237,"Arun Rao Systems",358.2,"Low Value"
C1294,"Meera Singh Group",358.2,"Low Value"
C1033,"Arun Sharma Industries",342.28,"Low Value"
C1137,"Arun Verma Labs",342.28,"Low Value"
C1190,"Myra Joshi Solutions",342.28,"Low Value"
C1262,"Arun Joshi Group",342.28,"Low Value"
C1266,"Arun Nair Systems",342.28,"Low Value"
C1274,"Aadhya Khan Systems",342.28,"Low Value"
C1316,"Deepak Reddy Group",342.28,"Low Value"
C1328,"Karthik Nair Labs",342.28,"Low Value"
C1338,"Aadhya Singh Systems",342.28,"Low Value"
C1401,"Naveen Gupta Solutions",342.28,"Low Value"
C1019,"Deepak Nair Labs",326.36,"Low Value"
C1040,"Reyansh Nair Labs",326.36,"Low Value"
C1067,"Tara Khan Group",326.36,"Low Value"
C1071,"Arjun Patel Labs",326.36,"Low Value"
C1090,"Aarav Menon Group",326.36,"Low Value"
C1142,"Kavya Reddy Technologies",326.36,"Low Value"
C1178,"Isha Menon Solutions",326.36,"Low Value"
C1286,"Krishna Khan Solutions",326.36,"Low Value"
C1312,"Saanvi Bose Labs",326.36,"Low Value"
C1317,"Divya Patel Systems",326.36,"Low Value"
C1320,"Vihaan Nair Labs",326.36,"Low Value"
C1346,"Krishna Sharma Group",326.36,"Low Value"
C1396,"Sai Joshi Systems",326.36,"Low Value"
C1398,"Zoya Rao Group",326.36,"Low Value"
C1410,"Isha Khan Technologies",326.36,"Low Value"
C1414,"Zoya Joshi Solutions",326.36,"Low Value"
C1417,"Naveen Patel Technologies",326.36,"Low Value"
C1418,"Naveen Patel Technologies",326.36,"Low Value"
C1053,"Sanjay Joshi Group",310.44,"Low Value"
C1061,"Isha Gupta Group",310.44,"Low Value"
C1080,"Rohan Sharma Group",310.44,"Low Value"
C1088,"Reyansh Das Technologies",310.44,"Low Value"
C1096,"Deepak Gupta Labs",310.44,"Low Value"
C1120,"Pooja Rao Solutions",310.44,"Low Value"
C1122,"Aarav Gupta Technologies",310.44,"Low Value"
C1189,"Kiara Patel Group",310.44,"Low Value"
C1207,"Sneha Gupta Technologies",310.44,"Low Value"
C1254,"Rohan Nair Technologies",310.44,"Low Value"
C1255,"Riya Joshi Labs",310.44,"Low Value"
C1314,"Isha Joshi Industries",310.44,"Low Value"
C1331,"Krishna Bose Industries",310.44,"Low Value"
C1363,"Pooja Gupta Group",310.44,"Low Value"
C1376,"Vivaan Khan Systems",310.44,"Low Value"
C1387,"Arun Nair Solutions",310.44,"Low Value"
C1388,"Sai Bose Group",310.44,"Low Value"
C1028,"Ananya Gupta Solutions",294.52,"Low Value"
C1031,"Isha Khan Technologies",294.52,"Low Value"
C1046,"Tara Patel Industries",294.52,"Low Value"
C1074,"Priya Khan Group",294.52,"Low Value"
C1082,"Aadhya Nair Systems",294.52,"Low Value"
C1084,"Meera Patel Industries",294.52,"Low Value"
C1089,"Reyansh Bose Solutions",294.52,"Low Value"
C1101,"Zoya Bose Industries",294.52,"Low Value"
C1110,"Tara Sharma Solutions",294.52,"Low Value"
C1136,"Deepak Bose Group",294.52,"Low Value"
C1146,"Priya Iyer Technologies",294.52,"Low Value"
C1152,"Nikita Verma Technologies",294.52,"Low Value"
C1171,"Aditya Khan Industries",294.52,"Low Value"
C1185,"Zoya Rao Labs",294.52,"Low Value"
C1211,"Krishna Iyer Solutions",294.52,"Low Value"
C1265,"Aditya Reddy Solutions",294.52,"Low Value"
C1269,"Aadhya Patel Solutions",294.52,"Low Value"
C1270,"Farhan Menon Group",294.52,"Low Value"
C1271,"Myra Gupta Industries",294.52,"Low Value"
C1277,"Kiara Gupta Industries",294.52,"Low Value"
C1319,"Divya Bose Group",294.52,"Low Value"
C1322,"Arjun Khan Systems",294.52,"Low Value"
C1345,"Rahul Gupta Group",294.52,"Low Value"
C1355,"Nikita Reddy Technologies",294.52,"Low Value"
C1372,"Isha Joshi Group",294.52,"Low Value"
C1400,"Arjun Bose Solutions",294.52,"Low Value"
C1419,"Diya Nair Industries",294.52,"Low Value"
C1001,"Ishaan Joshi Systems",278.6,"Low Value"
C1003,"Zoya Das Systems",278.6,"Low Value"
C1010,"Tara Iyer Labs",278.6,"Low Value"
C1072,"Rohan Gupta Technologies",278.6,"Low Value"
C1118,"Ishaan Reddy Group",278.6,"Low Value"
C1124,"Krishna Sharma Systems",278.6,"Low Value"
C1127,"Divya Gupta Labs",278.6,"Low Value"
C1140,"Aarav Nair Systems",278.6,"Low Value"
C1141,"Ananya Joshi Industries",278.6,"Low Value"
C1163,"Meera Menon Industries",278.6,"Low Value"
C1167,"Aarav Patel Labs",278.6,"Low Value"
C1193,"Diya Menon Systems",278.6,"Low Value"
C1199,"Aman Singh Labs",278.6,"Low Value"
C1223,"Vihaan Joshi Industries",278.6,"Low Value"
C1280,"Aman Patel Systems",278.6,"Low Value"
C1293,"Tara Joshi Systems",278.6,"Low Value"
C1295,"Aman Joshi Group",278.6,"Low Value"
C1300,"Krishna Sharma Solutions",278.6,"Low Value"
C1307,"Rahul Reddy Technologies",278.6,"Low Value"
C1333,"Aditya Nair Systems",278.6,"Low Value"
C1339,"Nikita Iyer Group",278.6,"Low Value"
C1366,"Kavya Verma Labs",278.6,"Low Value"
C1390,"Rahul Reddy Labs",278.6,"Low Value"
C1393,"Sneha Bose Technologies",278.6,"Low Value"
C1394,"Sai Menon Group",278.6,"Low Value"
C1403,"Sai Khan Labs",278.6,"Low Value"
C1406,"Vihaan Joshi Group",278.6,"Low Value"
C1420,"Arun Gupta Technologies",278.6,"Low Value"
C1011,"Rohan Iyer Solutions",262.68,"Low Value"
C1025,"Diya Singh Labs",262.68,"Low Value"
C1051,"Priya Gupta Labs",262.68,"Low Value"
C1068,"Ananya Gupta Industries",262.68,"Low Value"
C1109,"Kiara Verma Industries",262.68,"Low Value"
C1147,"Vivaan Khan Technologies",262.68,"Low Value"
C1289,"Karthik Patel Systems",262.68,"Low Value"
C1292,"Divya Sharma Technologies",262.68,"Low Value"
C1305,"Ananya Reddy Solutions",262.68,"Low Value"
C1344,"Naveen Verma Technologies",262.68,"Low Value"
C1357,"Saanvi Menon Labs",262.68,"Low Value"
C1371,"Nikita Singh Technologies",262.68,"Low Value"
C1402,"Rohan Reddy Industries",262.68,"Low Value"
C1411,"Saanvi Verma Technologies",262.68,"Low Value"
C1002,"Tara Sharma Technologies",246.76,"Low Value"
C1015,"Sanjay Gupta Industries",246.76,"Low Value"
C1024,"Vivaan Verma Solutions",246.76,"Low Value"
C1038,"Sneha Menon Industries",246.76,"Low Value"
C1044,"Krishna Bose Solutions",246.76,"Low Value"
C1135,"Nikita Menon Solutions",246.76,"Low Value"
C1161,"Sneha Das Systems",246.76,"Low Value"
C1226,"Ishaan Patel Industries",246.76,"Low Value"
C1231,"Aditya Patel Group",246.76,"Low Value"
C1276,"Myra Reddy Industries",246.76,"Low Value"
C1405,"Deepak Gupta Labs",246.76,"Low Value"
C1413,"Kiara Joshi Solutions",246.76,"Low Value"
C1157,"Meera Joshi Solutions",230.84,"Low Value"
C1174,"Vivaan Verma Systems",230.84,"Low Value"
C1181,"Isha Reddy Labs",230.84,"Low Value"
C1228,"Kiara Sharma Solutions",230.84,"Low Value"
C1287,"Farhan Nair Industries",230.84,"Low Value"
C1301,"Sanjay Verma Industries",230.84,"Low Value"
C1337,"Rohan Patel Systems",230.84,"Low Value"
C1213,"Nikita Verma Labs",214.92,"Low Value"
C1106,"Ananya Singh Group",199,"Low Value"
C1219,"Tara Nair Group",160.72,"Low Value"
C1253,"Karthik Rao Solutions",156.8,"Low Value"
C1225,"Diya Patel Industries",129.36,"Low Value"
C1196,"Ananya Singh Industries",99.96,"Low Value"
C1354,"Vivaan Reddy Group",99.96,"Low Value"
C1126,"Sneha Iyer Group",96.04,"Low Value"
C1123,"Vihaan Joshi Solutions",92.12,"Low Value"
C1383,"Myra Patel Solutions",92.12,"Low Value"
C1066,"Ishaan Reddy Solutions",88.2,"Low Value"
C1099,"Ishaan Patel Group",88.2,"Low Value"
C1115,"Rahul Rao Labs",88.2,"Low Value"
C1125,"Kiara Verma Systems",88.2,"Low Value"
C1128,"Sneha Rao Industries",88.2,"Low Value"
C1143,"Reyansh Menon Solutions",88.2,"Low Value"
C1197,"Sanjay Menon Industries",88.2,"Low Value"
C1238,"Tara Gupta Technologies",88.2,"Low Value"
C1340,"Zoya Joshi Technologies",88.2,"Low Value"
C1073,"Vivaan Menon Group",84.28,"Low Value"
C1138,"Meera Sharma Labs",84.28,"Low Value"
C1158,"Farhan Nair Labs",84.28,"Low Value"
C1192,"Deepak Nair Technologies",84.28,"Low Value"
C1218,"Reyansh Joshi Group",84.28,"Low Value"
C1245,"Aadhya Sharma Labs",84.28,"Low Value"
C1283,"Kiara Nair Industries",84.28,"Low Value"
C1004,"Diya Joshi Labs",80.36,"Low Value"
C1036,"Krishna Sharma Solutions",80.36,"Low Value"
C1047,"Rohan Das Technologies",80.36,"Low Value"
C1060,"Aarav Reddy Systems",80.36,"Low Value"
C1069,"Aadhya Joshi Systems",80.36,"Low Value"
C1077,"Krishna Nair Industries",80.36,"Low Value"
C1083,"Deepak Das Group",80.36,"Low Value"
C1114,"Aadhya Das Industries",80.36,"Low Value"
C1116,"Isha Gupta Group",80.36,"Low Value"
C1130,"Nikita Iyer Technologies",80.36,"Low Value"
C1133,"Divya Nair Solutions",80.36,"Low Value"
C1159,"Deepak Bose Systems",80.36,"Low Value"
C1164,"Saanvi Menon Systems",80.36,"Low Value"
C1221,"Rahul Gupta Solutions",80.36,"Low Value"
C1268,"Deepak Patel Industries",80.36,"Low Value"
C1279,"Divya Verma Solutions",80.36,"Low Value"
C1309,"Diya Gupta Labs",80.36,"Low Value"
C1021,"Vivaan Singh Systems",76.44,"Low Value"
C1039,"Arjun Iyer Systems",76.44,"Low Value"
C1057,"Reyansh Joshi Industries",76.44,"Low Value"
C1078,"Rohan Patel Group",76.44,"Low Value"
C1170,"Diya Verma Industries",76.44,"Low Value"
C1173,"Kiara Bose Labs",76.44,"Low Value"
C1216,"Nikita Khan Systems",76.44,"Low Value"
C1326,"Naveen Sharma Labs",76.44,"Low Value"
C1329,"Kavya Das Group",76.44,"Low Value"
C1342,"Divya Joshi Systems",76.44,"Low Value"
C1351,"Priya Gupta Systems",76.44,"Low Value"
C1367,"Kiara Gupta Industries",76.44,"Low Value"
C1095,"Aarav Das Industries",72.52,"Low Value"
C1104,"Farhan Iyer Group",72.52,"Low Value"
C1112,"Aarav Singh Labs",72.52,"Low Value"
C1119,"Deepak Verma Systems",72.52,"Low Value"
C1165,"Arjun Das Solutions",72.52,"Low Value"
C1176,"Sneha Khan Technologies",72.52,"Low Value"
C1177,"Isha Gupta Group",72.52,"Low Value"
C1229,"Farhan Verma Technologies",72.52,"Low Value"
C1236,"Saanvi Rao Industries",72.52,"Low Value"
C1244,"Myra Sharma Industries",72.52,"Low Value"
C1278,"Meera Sharma Industries",72.52,"Low Value"
C1303,"Farhan Khan Systems",72.52,"Low Value"
C1306,"Ananya Nair Systems",72.52,"Low Value"
C1343,"Isha Iyer Technologies",72.52,"Low Value"
C1347,"Deepak Khan Solutions",72.52,"Low Value"
C1386,"Naveen Singh Technologies",72.52,"Low Value"
C1014,"Rahul Patel Industries",68.6,"Low Value"
C1020,"Saanvi Menon Group",68.6,"Low Value"
C1055,"Arun Rao Technologies",68.6,"Low Value"
C1064,"Riya Sharma Technologies",68.6,"Low Value"
C1092,"Aman Sharma Solutions",68.6,"Low Value"
C1097,"Diya Gupta Industries",68.6,"Low Value"
C1108,"Saanvi Joshi Systems",68.6,"Low Value"
C1139,"Arjun Menon Group",68.6,"Low Value"
C1145,"Pooja Reddy Solutions",68.6,"Low Value"
C1160,"Ishaan Singh Group",68.6,"Low Value"
C1180,"Rahul Menon Labs",68.6,"Low Value"
C1191,"Sai Patel Industries",68.6,"Low Value"
C1234,"Farhan Singh Industries",68.6,"Low Value"
C1235,"Vivaan Bose Technologies",68.6,"Low Value"
C1321,"Nikita Sharma Group",68.6,"Low Value"
C1323,"Pooja Verma Labs",68.6,"Low Value"
C1353,"Farhan Gupta Labs",68.6,"Low Value"
C1375,"Tara Bose Group",68.6,"Low Value"
C1382,"Sai Singh Systems",68.6,"Low Value"
C1391,"Nikita Verma Industries",68.6,"Low Value"
C1408,"Aarav Reddy Labs",68.6,"Low Value"
C1409,"Saanvi Iyer Industries",68.6,"Low Value"
C1022,"Rahul Singh Technologies",64.68,"Low Value"
C1058,"Riya Das Labs",64.68,"Low Value"
C1070,"Kiara Das Solutions",64.68,"Low Value"
C1081,"Ananya Nair Group",64.68,"Low Value"
C1107,"Isha Nair Technologies",64.68,"Low Value"
C1240,"Aadhya Gupta Group",64.68,"Low Value"
C1243,"Aditya Patel Solutions",64.68,"Low Value"
C1304,"Karthik Sharma Group",64.68,"Low Value"
C1311,"Kavya Rao Labs",64.68,"Low Value"
C1318,"Vihaan Sharma Labs",64.68,"Low Value"
C1358,"Diya Das Systems",64.68,"Low Value"
C1362,"Aditya Patel Solutions",64.68,"Low Value"
C1392,"Ananya Rao Industries",64.68,"Low Value"
C1017,"Rahul Reddy Solutions",60.76,"Low Value"
C1032,"Naveen Menon Industries",60.76,"Low Value"
C1042,"Meera Iyer Industries",60.76,"Low Value"
C1087,"Diya Iyer Labs",60.76,"Low Value"
C1179,"Sneha Iyer Solutions",60.76,"Low Value"
C1200,"Kavya Rao Industries",60.76,"Low Value"
C1208,"Deepak Das Group",60.76,"Low Value"
C1215,"Zoya Patel Solutions",60.76,"Low Value"
C1291,"Diya Rao Systems",60.76,"Low Value"
C1360,"Deepak Gupta Group",60.76,"Low Value"
C1373,"Naveen Patel Group",60.76,"Low Value"
C1379,"Pooja Rao Labs",60.76,"Low Value"
C1063,"Rahul Menon Systems",56.84,"Low Value"
C1134,"Tara Reddy Industries",56.84,"Low Value"
C1168,"Aditya Joshi Solutions",56.84,"Low Value"
C1175,"Pooja Bose Solutions",56.84,"Low Value"
C1210,"Deepak Patel Technologies",56.84,"Low Value"
C1298,"Riya Menon Systems",56.84,"Low Value"
C1315,"Arjun Das Solutions",52.92,"Low Value"
C1368,"Priya Singh Solutions",52.92,"Low Value"
